,Month,Levels
244,245,13.871
245,246,14.175
246,247,14.099
247,248,13.719
248,249,13.093
249,250,12.562
250,251,12.03
251,252,12.144
252,253,11.86
253,254,12.41
254,255,12.77
255,256,14.63
256,257,15.218
257,258,15.92
258,259,15.882
259,260,15.75
260,261,15.275
261,262,14.801
262,263,14.554
263,264,14.345
264,265,15.104
265,266,14.554
266,267,14.953
267,268,15.958
268,269,17.59
269,270,18.805
270,271,18.805
271,272,18.33
272,273,17.476
273,274,16.812
274,275,16.224
275,276,15.541
276,277,14.744
277,278,14.478
278,279,14.725
279,280,16.319
280,281,17.324
281,282,17.609
282,283,17.211
283,284,16.546
284,285,15.977
285,286,15.427
286,287,14.972
287,288,14.535
288,289,14.213
289,290,13.719
290,291,15.009
291,292,16.319
292,293,17.078
293,294,17.913
294,295,18.159
295,296,17.704
296,297,17.059
297,298,17.268
298,299,16.546
299,300,16.072
300,301,15.996
301,302,15.294
302,303,15.901
303,304,16.3
304,305,16.546
305,306,17.495
306,307,17.666
307,308,16.964
308,309,16.148
309,310,15.427
310,311,14.839
311,312,14.269
312,313,14.118
313,314,14.156
314,315,14.08
315,316,16.414
316,317,18.216
317,318,19.298
318,319,18.824
319,320,18.368
320,321,17.875
321,322,16.869
322,323,16.129
323,324,15.712
324,325,15.617
325,326,15.161
326,327,16.148
327,328,17.609
328,329,18.406
329,330,18.463
330,331,18.254
331,332,17.609
332,333,16.812
333,334,15.712
334,335,15.066
335,336,14.763
336,337,14.877
337,338,15.37
338,339,15.731
339,340,15.996
340,341,16.224
341,342,16.186
342,343,16.015
343,344,15.446
344,345,14.573
345,346,14.08
346,347,13.226
347,348,12.979
348,349,14.459
349,350,15.655
350,351,15.636
351,352,17.154
352,353,17.381
353,354,17.116
354,355,16.736
355,356,16.167
356,357,15.92
357,358,15.408
358,359,15.066
359,360,15.769
360,361,15.787
361,362,15.863
362,363,17.154
363,364,18.178
364,365,18.653
365,366,18.615
366,367,18.406
367,368,17.837
368,369,17.078
369,370,16.471
370,371,16.224
371,372,16.395
372,373,17.4
373,374,18.672
374,375,19.089
375,376,19.829
376,377,20.0
377,378,19.943
378,379,19.526
379,380,18.975
380,381,18.463
381,382,17.268
382,383,16.414
383,384,16.414
384,385,16.755
385,386,16.736
386,387,17.173
387,388,17.647
388,389,18.216
389,390,18.767
390,391,18.539
391,392,18.273
392,393,17.419
393,394,16.679
394,395,15.996
395,396,15.465
396,397,15.408
397,398,15.123
398,399,16.072
399,400,17.685
400,401,18.235
401,402,18.064
402,403,17.818
403,404,17.438
404,405,16.812
405,406,17.116
406,407,17.211
407,408,17.097
408,409,17.495
409,410,17.097
410,411,18.121
411,412,18.748
412,413,18.767
413,414,18.539
414,415,18.102
415,416,17.818
416,417,17.002
417,418,16.357
418,419,15.56
419,420,15.313
420,421,14.782
421,422,13.719
422,423,14.839
423,424,15.825
424,425,17.324
425,426,17.723
426,427,17.685
427,428,17.514
428,429,16.907
429,430,15.863
430,431,14.934
431,432,14.706
432,433,14.383
433,434,14.345
434,435,14.763
435,436,15.958
436,437,16.698
437,438,16.793
438,439,17.23
439,440,16.509
440,441,15.787
441,442,14.991
442,443,14.08
443,444,14.326
444,445,14.497
445,446,13.51
446,447,13.662
447,448,14.042
448,449,14.269
449,450,14.478
450,451,14.972
451,452,14.972
452,453,14.573
453,454,13.776
454,455,13.017
455,456,12.6
456,457,12.296
457,458,13.131
458,459,13.966
459,460,15.028
460,461,15.844
461,462,15.769
462,463,15.237
463,464,14.801
464,465,14.137
465,466,13.89
466,467,13.416
467,468,13.871
468,469,14.478
469,470,14.725
470,471,14.763
471,472,15.806
472,473,16.565
473,474,17.097
474,475,17.306
475,476,17.211
476,477,16.717
477,478,15.787
478,479,14.801
479,480,14.231
480,481,13.966
481,482,14.004
482,483,15.313
483,484,16.357
484,485,17.742
485,486,17.609
486,487,17.249
487,488,17.078
488,489,16.509
489,490,15.465
490,491,14.706
491,492,14.213
492,493,13.662
493,494,13.928
494,495,14.516
495,496,15.18
496,497,15.351
497,498,15.579
498,499,15.446
499,500,15.199
500,501,14.725
501,502,14.383
502,503,14.231
503,504,13.776
504,505,13.15
505,506,12.713
506,507,13.283
507,508,14.478
508,509,14.858
509,510,14.782
510,511,14.307
511,512,14.023
512,513,13.529
513,514,12.922
514,515,12.41
515,516,11.936
516,517,11.784
517,518,11.992
518,519,12.619
519,520,13.662
520,521,14.231
521,522,14.099
522,523,13.833
523,524,13.416
524,525,12.922
525,526,11.974
526,527,11.461
527,528,11.423
528,529,11.86
529,530,12.163
530,531,13.226
531,532,13.966
532,533,14.535
533,534,14.516
534,535,14.231
535,536,13.966
536,537,13.738
537,538,13.226
538,539,12.998
539,540,13.131
540,541,13.7
541,542,13.814
542,543,14.383
543,544,15.047
544,545,15.693
545,546,15.844
546,547,15.712
547,548,15.313
548,549,14.763
549,550,13.548
550,551,13.586
551,552,14.516
552,553,14.383
553,554,14.497
554,555,14.744
555,556,15.806
556,557,16.527
557,558,16.546
558,559,16.717
559,560,16.433
560,561,15.769
561,562,15.275
562,563,15.123
563,564,15.541
564,565,15.825
565,566,16.376
566,567,16.357
567,568,16.907
568,569,17.021
569,570,17.419
570,571,17.533
571,572,17.268
572,573,16.603
573,574,15.825
574,575,15.446
575,576,15.636
576,577,15.693
577,578,16.755
578,579,16.509
579,580,17.723
580,581,18.691
581,582,19.127
582,583,19.564
583,584,19.203
584,585,18.216
585,586,17.211
586,587,16.66
587,588,16.831
588,589,15.769
589,590,15.731
590,591,15.996
591,592,17.021
592,593,17.552
593,594,17.837
594,595,17.856
595,596,17.571
596,597,17.078
